artist.id,artist.name,id
0HCAzT0cSCpiNje7AcAQaD,chief.,55vxejCDJGmmVAj2UTjZeQ
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,5OMCffelD9cnJCgG3xnHzU
7qRll6DYV06u2VuRPAVqug,Foxes,5OMCffelD9cnJCgG3xnHzU
57ZPJfidpxGJGkyjcmz68v,David Dunn,5f4a8LWYVgk4WEQyQhuOwU
1uiEZYehlNivdK3iQyAbye,Tom Misch,61Ivix5DTnDPVjp1dgLyov
6oPQiSj92N4mk5jXLtX1bl,Poppy Ajudha,61Ivix5DTnDPVjp1dgLyov
3ZZhxEl0lkwP7QwB8Vi1rf,3年E組うた担(渚&茅野&業&磯貝&前原),66lF1QWtLZXJofJ3x388RV
6egyCFgiJ1j941PaxKoWJD,Housefires,7g6LwD8T8nYuuDj6l62nSL
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,7rBJG1BewE3VE7NRbrOhFj
0IVcLMMbm05VIjnzPkGCyp,J Dilla,0Vg1lQpk2IHk2JU8UfAa5d
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,0l9RGwc48deJ6j61KXAAvs
4VivsO1n4n2Mi2Btyb5gfL,Cosmo's Midnight,0u8AnQEMd9W6fDG2UbFjyz
5otBiN3WavXq3PYm9ZK8ir,Enfield Harp Crew,0zvIJtch6xOwKUAIhtAjuY
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,11VGhd5i7deLL0YB0ayicY
5ECHe2MSGF8z12B7wv08x5,Paris Green,1CdlRy7UMR7Oz8pnUFFX2G
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,1CdlRy7UMR7Oz8pnUFFX2G
75jNCko3SnEMI5gwGqrbb8,Tammi Terrell,1CdlRy7UMR7Oz8pnUFFX2G
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,264JdkdtNRAGL4M4PnDYHC
2e4G04F77jxVuDYo44TCSm,Loco,27zrFrtUtWl2urlvjOn5xc
2FgZrgTMX6Sk0VNcOsEPmm,Punch,27zrFrtUtWl2urlvjOn5xc
7rkW85dBwwrJtlHRDkJDAC,NAV,2MFaWtVFHJ9KNdpArq0AGW
0gg11prPP6OqtUvBcKnPpq,Rylo Rodriguez,36LdLA4ZA0p5bO5bB18Fai
2FcC4sDMXme2ziI7tGKMK8,David Gilmour,3KwsuUstyHS3a5z2GGYEST
1EpyA68dKpjf7jXmQL88Hy,Noname,3YelntUJuFb94u4VDS4EPc
521qvhdobR0GzhvU6TFw76,Tritonal,3yEiYSb5iONgtI4a3Vmm3x
6dAOkHEQVpVD8mFj7OQv8M,Brigetta,3yEiYSb5iONgtI4a3Vmm3x
0EDGTxTWGUJX9f8Z8EJbJ1,East & Atlas,3yEiYSb5iONgtI4a3Vmm3x
521qvhdobR0GzhvU6TFw76,Tritonal,4G55pTc04WhcDGh7VUCOkT
6dAOkHEQVpVD8mFj7OQv8M,Brigetta,4G55pTc04WhcDGh7VUCOkT
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,5A0OekqQy0rb1pcsf4k0J7
5YNgVaI5vgMjBLel7QShBe,LUCHS,5q4HX5dFrepBt1T4Kjuw6p
6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,5vMzNmHm2ec2zrqiYhkQzZ
6AVLthptCPhfrxlHadOBJD,Jill Scott,6cBwryv6XVRzGooXa1FjnM
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,7EEpVPYeW8Ycaw2SlP1u7f
3h52p4briMQAqCtMWmRrgY,Freddo,7bTXFmcdZuWNZ6R7JhsQCk
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,01JPQ87UHeGysPVwTqMJHK
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,01JPQ87UHeGysPVwTqMJHK
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,0PspNrE4MSjr1JeB4OW0jn
3dXaa6jwM7B52GZpaJEIr5,Puddle Of Mudd,16DhvbuyvJob4Q9GHNYu2n
7dGJo4pcD2V6oG8kP0tJRR,Eminem,1cS0TgbR263ey9jn0MwD2s
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1cS0TgbR263ey9jn0MwD2s
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,1gugDOSMREb34Xo0c1PlxM
3tkZthBATD0S45hm1DmB2O,Sammy Kershaw,2oyS4THTUzUxT2lnHGzzIr
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,3m49rgJQUz5GU07RWjf5SH
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,3m49rgJQUz5GU07RWjf5SH
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,3qzSfoByowr6tDfd08b0T0
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,3qzSfoByowr6tDfd08b0T0
21TinSsF5ytwsfdyz5VSVS,dodie,45h4w81P5iJJTSeR0jJUQ8
04gDigrS5kc9YWfZHwBETP,Maroon 5,4llK75pXNWZz6KAho2Gp16
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,5M3v6frAiTyqenNAeQVcxC
718COspgdWOnwOFpJHRZHS,Luke Combs,698eQRku24PIYPQPHItKlA
7dOBabd5O4CvKrg4iriHTM,Kid Rock,69j0KoPJuwpnbGWrfn7Yll
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,69j0KoPJuwpnbGWrfn7Yll
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,6GMVLBL3hpfcJ4t68KMTzl
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,6GMVLBL3hpfcJ4t68KMTzl
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,6LQxv30jh0lCISHsPYwqoy
